Part Name,Type,Amount,Total price (cause most come in packs of 100 or more),Reference for price
supermini nrf52840,Microcontroller,2,15$,https://de.aliexpress.com/item/1005007551847969.html?gatewayAdapt=glo2deu
110 mAh LiPo battery,Battery,2,5$,https://de.aliexpress.com/item/33042470998.html?spm=a2g0o.productlist.main.14.7dc2uk5nuk5nPh&algo_pvid=fad2ebb7-966a-4398-9acf-63206a57b933&algo_exp_id=fad2ebb7-966a-4398-9acf-63206a57b933-13&pdp_ext_f=%7B%22order%22%3A%226%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%216.54%215.49%21%21%217.28%216.11%21%40211b655217828403650785694e3f50%2112000023274378745%21sea%21DE%216411834960%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa72113af%3Bm03_new_user%3A-29895&curPageLogUid=vAZ8bAD7ZSur&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A33042470998%7C_p_origin_prod%3A
1N4148 SMD Diodes,Diode,42,2$,https://de.aliexpress.com/item/1005006200006233.html?spm=a2g0o.productlist.main.1.236dJYHYJYHYwC&algo_pvid=094d4bdd-e925-47dd-a2cb-c9d51e242303&algo_exp_id=094d4bdd-e925-47dd-a2cb-c9d51e242303-0&pdp_ext_f=%7B%22order%22%3A%2274%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%211.54%211.39%21%21%211.72%211.55%21%402103835c17828404574187455e072b%2112000036238927297%21sea%21DE%216411834960%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa72113af%3Bm03_new_user%3A-29895&curPageLogUid=VtSJgiuPZU4x&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006200006233%7C_p_origin_prod%3A
Kailh MX Hotswap sockets,Hotswap Socket,42,7$,https://de.aliexpress.com/item/1005009594313632.html?spm=a2g0o.productlist.main.1.7794fa26rRF2vs&algo_pvid=db3d9762-f648-47a6-853a-fe21ddb533b8&algo_exp_id=db3d9762-f648-47a6-853a-fe21ddb533b8-0&pdp_ext_f=%7B%22order%22%3A%22116%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%216.71%213.69%21%21%217.48%214.12%21%40211b61d017828405560553916e4527%2112000049567469620%21sea%21DE%216411834960%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa72113af%3Bm03_new_user%3A-29895&curPageLogUid=NTfKdbXCwim0&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009594313632%7C_p_origin_prod%3A
Outtemu MX Switches,Switch,42,15$,https://de.aliexpress.com/item/1005007146993191.html?spm=a2g0o.productlist.main.6.75b5OHzMOHzMJD&algo_pvid=2f6a3b07-ad35-4ad5-8ab9-72766026f1cb&algo_exp_id=2f6a3b07-ad35-4ad5-8ab9-72766026f1cb-5&pdp_ext_f=%7B%22order%22%3A%2225%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%216.22%215.29%21%21%2147.09%2140.05%21%40211b61bb17828424776775793e47e6%2112000039581753893%21sea%21DE%216411834960%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa72113af%3Bm03_new_user%3A-29895&curPageLogUid=e3M9hQDwHsyc&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007146993191%7C_p_origin_prod%3A
MX Keycaps,Keycaps,42,17$,https://de.aliexpress.com/item/1005003408616821.html?spm=a2g0o.productlist.main.20.198a7e4cb3jsYP&algo_pvid=6d86a070-532a-4e68-a59b-63eec7070819&algo_exp_id=6d86a070-532a-4e68-a59b-63eec7070819-19&pdp_ext_f=%7B%22order%22%3A%2210%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%2116.25%219.69%21%21%21123.01%2173.36%21%40210385db17828429932368204eaf6b%2112000027301493866%21sea%21DE%216411834960%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa72113af%3Bm03_new_user%3A-29895%3BpisId%3A5000000206826173&curPageLogUid=gKAmGuN39p22&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003408616821%7C_p_origin_prod%3A
"0.91"" OLED ",Display,2,6$,https://de.aliexpress.com/item/1005008640108394.html?spm=a2g0o.productlist.main.2.b516vwgGvwgGvW&algo_pvid=08610a4a-1f4b-4244-94f6-9884941653b0&algo_exp_id=08610a4a-1f4b-4244-94f6-9884941653b0-1&pdp_ext_f=%7B%22order%22%3A%222456%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%214.89%212.39%21%21%215.45%212.67%21%4021039a5b17828406963077997e5e25%2112000046056142551%21sea%21DE%216411834960%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa72113af%3Bm03_new_user%3A-29895%3BpisId%3A5000000206826173&curPageLogUid=bGvv7FNjvSvs&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008640108394%7C_p_origin_prod%3A
4.7kΩ SMD resistors,Pull up resistor,2,1$,https://de.aliexpress.com/item/1005006122256712.html?spm=a2g0o.productlist.main.2.718eCrFICrFIlk&algo_pvid=8e26c949-568d-4c2d-99cb-39da9fd1ef29&algo_exp_id=8e26c949-568d-4c2d-99cb-39da9fd1ef29-1&pdp_ext_f=%7B%22order%22%3A%22207%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%210.53%210.53%21%21%214.01%214.01%21%402103890917828407280096590e927c%2112000035854592387%21sea%21DE%216411834960%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa72113af%3Bm03_new_user%3A-29895&curPageLogUid=QBLaMsnM2gRh&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006122256712%7C_p_origin_prod%3A
100kΩ SMD resistors ,Resistor,2,1$,https://de.aliexpress.com/item/1005009613956367.html?spm=a2g0o.productlist.main.10.48cfY8xGY8xGic&algo_pvid=832ccc5f-9cce-4be0-bdae-1646b649ef5b&algo_exp_id=832ccc5f-9cce-4be0-bdae-1646b649ef5b-9&pdp_ext_f=%7B%22order%22%3A%22116%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%2110.16%212.59%21%21%2176.91%2119.61%21%40211b61d017828407623285701e4521%2112000049634479452%21sea%21DE%216411834960%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa72113af%3Bm03_new_user%3A-29895%3BpisId%3A5000000206826173&curPageLogUid=O9vAFKDQaCgP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009613956367%7C_p_origin_prod%3A
SPST slide switch,Slide switch,1,0.50$,https://de.aliexpress.com/item/33011838990.html?spm=a2g0o.productlist.main.11.5fd8ultGultG6f&algo_pvid=5d22a604-9422-4a86-8a17-89f79aa07265&algo_exp_id=5d22a604-9422-4a86-8a17-89f79aa07265-10&pdp_ext_f=%7B%22order%22%3A%2261%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%211.27%210.73%21%21%211.42%210.82%21%4021039a5b17828407816471439e5df0%2167104106940%21sea%21DE%216411834960%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa72113af%3Bm03_new_user%3A-29895&curPageLogUid=A4ZnC8aPktfh&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A33011838990%7C_p_origin_prod%3A
